纬度,南北纬,经度,东西经,速度(km/h),航向,时间,日期,卫星数量,海拔高度
4047.533,N,11141.85,E,22.224000,253.6,9时32分38秒,17年5月10日,05,1108
4047.532,N,11141.85,E,20.372000,254.3,9时32分39秒,17年5月10日,05,1106
4047.532,N,11141.85,E,20.372000,254.3,9时32分39秒,17年5月10日,05,1106
4047.557,N,11141.83,E,22.224000,252.0,9时32分41秒,17年5月10日,06,1181
4047.563,N,11141.83,E,22.224000,255.4,9时32分42秒,17年5月10日,06,1199
4047.561,N,11141.82,E,25.928000,257.0,9时32分43秒,17年5月10日,06,1195
4047.560,N,11141.82,E,25.928000,258.9,9时32分44秒,17年5月10日,06,1194
4047.559,N,11141.81,E,25.928000,260.2,9时32分45秒,17年5月10日,06,1192
4047.560,N,11141.81,E,25.928000,259.4,9时32分46秒,17年5月10日,06,1194
4047.558,N,11141.80,E,24.076000,252.7,9时32分47秒,17年5月10日,06,1195
4047.558,N,11141.80,E,25.928000,257.7,9时32分48秒,17年5月10日,06,1196
4047.555,N,11141.79,E,25.928000,259.9,9时32分49秒,17年5月10日,07,1184
4047.551,N,11141.79,E,25.928000,258.7,9时32分50秒,17年5月10日,07,1174
4047.549,N,11141.78,E,22.224000,254.0,9时32分51秒,17年5月10日,07,1167
4047.547,N,11141.78,E,20.372000,254.8,9时32分52秒,17年5月10日,08,1162
4047.548,N,11141.77,E,18.520000,259.7,9时32分53秒,17年5月10日,08,1159
4047.547,N,11141.77,E,16.668000,273.7,9时32分54秒,17年5月10日,08,1151
4047.547,N,11141.77,E,16.668000,298.6,9时32分55秒,17年5月10日,08,1147
4047.549,N,11141.76,E,20.372000,327.2,9时32分56秒,17年5月10日,08,1147
4047.552,N,11141.76,E,24.076000,338.5,9时32分57秒,17年5月10日,08,1147
4047.556,N,11141.76,E,29.632000,341.1,9时32分58秒,17年5月10日,08,1146
4047.560,N,11141.76,E,33.336000,340.4,9时32分59秒,17年5月10日,08,1145
4047.565,N,11141.76,E,37.040000,339.9,9时33分0秒,17年5月10日,08,1144
4047.571,N,11141.75,E,40.744000,339.6,9时33分1秒,17年5月10日,08,1144
4047.577,N,11141.75,E,40.744000,339.2,9时33分2秒,17年5月10日,08,1143
4047.583,N,11141.75,E,42.596000,338.7,9时33分3秒,17年5月10日,08,1142
